Model	Pronoun	Chi_Square	P_Value
SK3_8b_t02_comp_Antecedens	Er	69.7507557710615	6.72920673446147e-17
SK3_8b_t05_comp_Antecedens	Der	36.8322677179697	1.28741715711579e-09
SK3_8b_t05_comp_Antecedens	Dieser	3.92693654172692	0.0475184320356483
SK3_8b_t05_comp_Antecedens	Er	52.3449998623936	4.65582511526191e-13
SKGEMMA2_9b_t00_comp_Antecedens	Der	31.4903478018245	2.00434116748873e-08
SKGEMMA2_9b_t00_comp_Antecedens	Dieser	128.790940766551	7.53513343473571e-30
SKGEMMA2_9b_t00_comp_Antecedens	Er	247.769043478261	7.95823718778592e-56
SKGEMMA2_9b_t02_comp_Antecedens	Der	42.2292913316829	8.11750422128352e-11
SKGEMMA2_9b_t02_comp_Antecedens	Dieser	96.2199397882424	1.02804276086825e-22
SKGEMMA2_9b_t02_comp_Antecedens	Er	280.261825657895	6.58475901062233e-63
SKGEMMA2_9b_t05_comp_Antecedens	Der	79.5706119636101	4.65295225981784e-19
SKGEMMA2_9b_t05_comp_Antecedens	Dieser	104.736420811893	1.39512927103411e-24
SKGEMMA2_9b_t05_comp_Antecedens	Er	288.333177328237	1.14748082818109e-64
SKLM_7b_t00_comp_Antecedens	Der	58.0502078169792	2.55512460035459e-14
SKLM_7b_t00_comp_Antecedens	Dieser	84.609375	3.63537352798321e-20
SKLM_7b_t00_comp_Antecedens	Er	100.583892589547	1.13486903082539e-23
SKLM_7b_t02_comp_Antecedens	Der	66.0893793235893	4.30931576117308e-16
SKLM_7b_t02_comp_Antecedens	Dieser	74.7555555555556	5.32756454414607e-18
SKLM_7b_t02_comp_Antecedens	Er	144.577335648148	2.65684840507743e-33
SKLM_7b_t05_comp_Antecedens	Der	38.2188571295353	6.32383336681072e-10
SKLM_7b_t05_comp_Antecedens	Dieser	38.8235294117647	4.63902182677979e-10
SKLM_7b_t05_comp_Antecedens	Er	155.028047099904	1.38058971339994e-35
SKv2_14b_t00_comp_Antecedens	Der	68.6551073157269	1.17280573644038e-16
SKv2_14b_t00_comp_Antecedens	Dieser	1.92307692307692	0.16551785869747
SKv2_14b_t00_comp_Antecedens	Er	147.311460503472	6.70880054990309e-34
SKv2_14b_t02_comp_Antecedens	Der	54.7662583882064	1.35751519433453e-13
SKv2_14b_t02_comp_Antecedens	Dieser	4.92851634589253	0.0264169889072039
SKv2_14b_t02_comp_Antecedens	Er	215.158839452028	1.02900281130703e-48
SKv2_14b_t05_comp_Antecedens	Der	113.998655633609	1.30396864462995e-26
SKv2_14b_t05_comp_Antecedens	Dieser	32.7831853300621	1.03032233838408e-08
SKv2_14b_t05_comp_Antecedens	Er	170.366184666401	6.15444076273533e-39
Human_Antecedens	Der	334.570073894246	9.71492733133702e-75
Human_Antecedens	Dieser	365.572000902324	1.72314674471966e-81
Human_Antecedens	Er	270.055773515049	1.10345255059898e-60
